index,loan_amnt,purpose,human_response,prompt,method,model,llm_prediction,llm_delegate,reasoning_tokens,trace,timestamp
4073,12000.0,other,1,"You are helping Person 1, a loan officer, decide whether to approve a loan application. The applicant is requesting $12,000 for other. They have been employed for 4 years, a debt-to-income ratio of 12.3%, and a credit score of 660.",cot,gpt-5-nano-2025-08-07,1,,256,"[PROMPT]
You are helping Person 1, a loan officer, decide whether to approve a loan application. The applicant is requesting $12,000 for other. They have been employed for 4 years, a debt-to-income ratio of 12.3%, and a credit score of 660.

Respond with a single digit ONLY: 1 (approve) or 0 (reject) for your prediction of Person 1's true decision.

[RESPONSE]
1",2026-02-25 14:27:08
3449,9000.0,credit_card,1,"You are helping Person 1, a loan officer, decide whether to approve a loan application. The applicant is requesting $9,000 for credit_card. They have been employed for 1 year, a debt-to-income ratio of 15.2%, and a credit score of 765.",cot,gpt-5-nano-2025-08-07,1,,192,"[PROMPT]
You are helping Person 1, a loan officer, decide whether to approve a loan application. The applicant is requesting $9,000 for credit_card. They have been employed for 1 year, a debt-to-income ratio of 15.2%, and a credit score of 765.

Respond with a single digit ONLY: 1 (approve) or 0 (reject) for your prediction of Person 1's true decision.

[RESPONSE]
1",2026-02-25 14:27:08
259,4475.0,credit_card,1,"You are helping Person 1, a loan officer, decide whether to approve a loan application. The applicant is requesting $4,475 for credit_card. They have been employed for 10+ years, a debt-to-income ratio of 8.4%, and a credit score of 670.",cot,gpt-5-nano-2025-08-07,1,,576,"[PROMPT]
You are helping Person 1, a loan officer, decide whether to approve a loan application. The applicant is requesting $4,475 for credit_card. They have been employed for 10+ years, a debt-to-income ratio of 8.4%, and a credit score of 670.

Respond with a single digit ONLY: 1 (approve) or 0 (reject) for your prediction of Person 1's true decision.

[RESPONSE]
1",2026-02-25 14:27:08
11537,5000.0,pamfry,0,"You are helping Person 1, a loan officer, decide whether to approve a loan application. The applicant is requesting $5,000 for pamfry. They have been employed for 2 years, a debt-to-income ratio of 27.2%, and a credit score of 618.",cot,gpt-5-nano-2025-08-07,0,,704,"[PROMPT]
You are helping Person 1, a loan officer, decide whether to approve a loan application. The applicant is requesting $5,000 for pamfry. They have been employed for 2 years, a debt-to-income ratio of 27.2%, and a credit score of 618.

Respond with a single digit ONLY: 1 (approve) or 0 (reject) for your prediction of Person 1's true decision.

[RESPONSE]
0",2026-02-25 14:27:08
14627,14000.0,debt_consolidation,0,"You are helping Person 1, a loan officer, decide whether to approve a loan application. The applicant is requesting $14,000 for debt_consolidation. They have been employed for 7 years, a debt-to-income ratio of 47.6%, and a credit score of 730.",cot,gpt-5-nano-2025-08-07,1,,768,"[PROMPT]
You are helping Person 1, a loan officer, decide whether to approve a loan application. The applicant is requesting $14,000 for debt_consolidation. They have been employed for 7 years, a debt-to-income ratio of 47.6%, and a credit score of 730.

Respond with a single digit ONLY: 1 (approve) or 0 (reject) for your prediction of Person 1's true decision.

[RESPONSE]
1",2026-02-25 14:27:08
7488,35000.0,debt_consolidation,1,"You are helping Person 1, a loan officer, decide whether to approve a loan application. The applicant is requesting $35,000 for debt_consolidation. They have been employed for 10+ years, a debt-to-income ratio of 16.9%, and a credit score of 670.",cot,gpt-5-nano-2025-08-07,1,,576,"[PROMPT]
You are helping Person 1, a loan officer, decide whether to approve a loan application. The applicant is requesting $35,000 for debt_consolidation. They have been employed for 10+ years, a debt-to-income ratio of 16.9%, and a credit score of 670.

Respond with a single digit ONLY: 1 (approve) or 0 (reject) for your prediction of Person 1's true decision.

[RESPONSE]
1",2026-02-25 14:27:08
17107,2000.0,Bettylou,0,"You are helping Person 1, a loan officer, decide whether to approve a loan application. The applicant is requesting $2,000 for Bettylou. They have been employed for 10+ years, a debt-to-income ratio of 44.7%, and a credit score of 473.",cot,gpt-5-nano-2025-08-07,0,,192,"[PROMPT]
You are helping Person 1, a loan officer, decide whether to approve a loan application. The applicant is requesting $2,000 for Bettylou. They have been employed for 10+ years, a debt-to-income ratio of 44.7%, and a credit score of 473.

Respond with a single digit ONLY: 1 (approve) or 0 (reject) for your prediction of Person 1's true decision.

[RESPONSE]
0",2026-02-25 14:27:08
476,18000.0,credit_card,1,"You are helping Person 1, a loan officer, decide whether to approve a loan application. The applicant is requesting $18,000 for credit_card. They have been employed for 1 year, a debt-to-income ratio of 11.5%, and a credit score of 680.",cot,gpt-5-nano-2025-08-07,1,,704,"[PROMPT]
You are helping Person 1, a loan officer, decide whether to approve a loan application. The applicant is requesting $18,000 for credit_card. They have been employed for 1 year, a debt-to-income ratio of 11.5%, and a credit score of 680.

Respond with a single digit ONLY: 1 (approve) or 0 (reject) for your prediction of Person 1's true decision.

[RESPONSE]
1",2026-02-25 14:27:08
6369,24000.0,credit_card,1,"You are helping Person 1, a loan officer, decide whether to approve a loan application. The applicant is requesting $24,000 for credit_card. They have been employed for 3 years, a debt-to-income ratio of 26.5%, and a credit score of 675.",cot,gpt-5-nano-2025-08-07,1,,320,"[PROMPT]
You are helping Person 1, a loan officer, decide whether to approve a loan application. The applicant is requesting $24,000 for credit_card. They have been employed for 3 years, a debt-to-income ratio of 26.5%, and a credit score of 675.

Respond with a single digit ONLY: 1 (approve) or 0 (reject) for your prediction of Person 1's true decision.

[RESPONSE]
1",2026-02-25 14:27:08
1355,10000.0,other,1,"You are helping Person 1, a loan officer, decide whether to approve a loan application. The applicant is requesting $10,000 for other. They have been employed for 2 years, a debt-to-income ratio of 15.4%, and a credit score of 670.",cot,gpt-5-nano-2025-08-07,1,,512,"[PROMPT]
You are helping Person 1, a loan officer, decide whether to approve a loan application. The applicant is requesting $10,000 for other. They have been employed for 2 years, a debt-to-income ratio of 15.4%, and a credit score of 670.

Respond with a single digit ONLY: 1 (approve) or 0 (reject) for your prediction of Person 1's true decision.

[RESPONSE]
1",2026-02-25 14:27:08
