id,claim,human_response,prompt,method,model,llm_prediction,llm_delegate,reasoning_tokens,trace,timestamp
69096,"In the 2017 MBC Entertainment Awards, Sohyang (a South Korean singer known for her skillful voice which led her to be dubbed as ""Korean Mariah Carey"") performed first before Han Hye-jin.",0,"You are helping Person 1 with fact-checking. This statement needs to be checked: In the 2017 MBC Entertainment Awards, Sohyang (a South Korean singer known for her skillful voice which led her to be dubbed as ""Korean Mariah Carey"") performed first before Han Hye-jin..",cot,gpt-5-nano-2025-08-07,0,,896,"[PROMPT]
You are helping Person 1 with fact-checking. This statement needs to be checked: In the 2017 MBC Entertainment Awards, Sohyang (a South Korean singer known for her skillful voice which led her to be dubbed as ""Korean Mariah Carey"") performed first before Han Hye-jin..

Respond with a single digit ONLY: 1 (support) or 0 (refute) for your prediction of Person 1's true decision.

[RESPONSE]
0",2026-02-25 14:42:28
14515,"Sundays River Valley, characterized by high-intensity industrial activities like an irrigation scheme which was started in the early 1920s, stretches from the Kirkwood prison grounds in the west to Colchester and Kinkelbos in the southeast.",0,"You are helping Person 1 with fact-checking. This statement needs to be checked: Sundays River Valley, characterized by high-intensity industrial activities like an irrigation scheme which was started in the early 1920s, stretches from the Kirkwood prison grounds in the west to Colchester and Kinkelbos in the southeast..",cot,gpt-5-nano-2025-08-07,1,,1024,"[PROMPT]
You are helping Person 1 with fact-checking. This statement needs to be checked: Sundays River Valley, characterized by high-intensity industrial activities like an irrigation scheme which was started in the early 1920s, stretches from the Kirkwood prison grounds in the west to Colchester and Kinkelbos in the southeast..

Respond with a single digit ONLY: 1 (support) or 0 (refute) for your prediction of Person 1's true decision.

[RESPONSE]
1",2026-02-25 14:42:28
50119,"Zehra Doğan(born April 14, 1989) was detained at a café in Nusaybin and was released in December, she was later acquitted.",1,"You are helping Person 1 with fact-checking. This statement needs to be checked: Zehra Doğan(born April 14, 1989) was detained at a café in Nusaybin and was released in December, she was later acquitted..",cot,gpt-5-nano-2025-08-07,0,,1344,"[PROMPT]
You are helping Person 1 with fact-checking. This statement needs to be checked: Zehra Doğan(born April 14, 1989) was detained at a café in Nusaybin and was released in December, she was later acquitted..

Respond with a single digit ONLY: 1 (support) or 0 (refute) for your prediction of Person 1's true decision.

[RESPONSE]
0",2026-02-25 14:42:28
91940,"Bobby Simmons had a better PPG during his 2002-03 time with Washington than he did during 2001-02, where he also achieved the same APG both years.",0,"You are helping Person 1 with fact-checking. This statement needs to be checked: Bobby Simmons had a better PPG during his 2002-03 time with Washington than he did during 2001-02, where he also achieved the same APG both years..",cot,gpt-5-nano-2025-08-07,0,,1280,"[PROMPT]
You are helping Person 1 with fact-checking. This statement needs to be checked: Bobby Simmons had a better PPG during his 2002-03 time with Washington than he did during 2001-02, where he also achieved the same APG both years..

Respond with a single digit ONLY: 1 (support) or 0 (refute) for your prediction of Person 1's true decision.

[RESPONSE]
0",2026-02-25 14:42:28
61815,Some of the Gemini astronauts died in the Apollo I disaster while others eventually were able to walk on the moon.,1,You are helping Person 1 with fact-checking. This statement needs to be checked: Some of the Gemini astronauts died in the Apollo I disaster while others eventually were able to walk on the moon..,cot,gpt-5-nano-2025-08-07,1,,1408,"[PROMPT]
You are helping Person 1 with fact-checking. This statement needs to be checked: Some of the Gemini astronauts died in the Apollo I disaster while others eventually were able to walk on the moon..

Respond with a single digit ONLY: 1 (support) or 0 (refute) for your prediction of Person 1's true decision.

[RESPONSE]
1",2026-02-25 14:42:28
83607,"The Wow Factor is the first episode of Fresh Beat Band of Spies, a spin-off of Nickelodeon's The Fresh Beat Band, which aired on June 15, 2015 with the last episode, Fresh Beat Babies, airing on January 22, 2016.",1,"You are helping Person 1 with fact-checking. This statement needs to be checked: The Wow Factor is the first episode of Fresh Beat Band of Spies, a spin-off of Nickelodeon's The Fresh Beat Band, which aired on June 15, 2015 with the last episode, Fresh Beat Babies, airing on January 22, 2016..",cot,gpt-5-nano-2025-08-07,1,,640,"[PROMPT]
You are helping Person 1 with fact-checking. This statement needs to be checked: The Wow Factor is the first episode of Fresh Beat Band of Spies, a spin-off of Nickelodeon's The Fresh Beat Band, which aired on June 15, 2015 with the last episode, Fresh Beat Babies, airing on January 22, 2016..

Respond with a single digit ONLY: 1 (support) or 0 (refute) for your prediction of Person 1's true decision.

[RESPONSE]
1",2026-02-25 14:42:28
83110,"Paul Gillard, an American dancer, only took dancing his entire career.",0,"You are helping Person 1 with fact-checking. This statement needs to be checked: Paul Gillard, an American dancer, only took dancing his entire career..",cot,gpt-5-nano-2025-08-07,0,,704,"[PROMPT]
You are helping Person 1 with fact-checking. This statement needs to be checked: Paul Gillard, an American dancer, only took dancing his entire career..

Respond with a single digit ONLY: 1 (support) or 0 (refute) for your prediction of Person 1's true decision.

[RESPONSE]
0",2026-02-25 14:42:28
76781,Seejou King career statistics in the F.C. Nordsjælland club a professional Danish football team (2010-11) which he has a career total apps of 15 and 13 goals.,0,You are helping Person 1 with fact-checking. This statement needs to be checked: Seejou King career statistics in the F.C. Nordsjælland club a professional Danish football team (2010-11) which he has a career total apps of 15 and 13 goals..,cot,gpt-5-nano-2025-08-07,0,,1088,"[PROMPT]
You are helping Person 1 with fact-checking. This statement needs to be checked: Seejou King career statistics in the F.C. Nordsjælland club a professional Danish football team (2010-11) which he has a career total apps of 15 and 13 goals..

Respond with a single digit ONLY: 1 (support) or 0 (refute) for your prediction of Person 1's true decision.

[RESPONSE]
0",2026-02-25 14:42:28
12503,The upright jerker provides a swift death by breaking the condemned's neck but was never really efficient in doing so causing its withdrawal from use by 1930s.,1,You are helping Person 1 with fact-checking. This statement needs to be checked: The upright jerker provides a swift death by breaking the condemned's neck but was never really efficient in doing so causing its withdrawal from use by 1930s..,cot,gpt-5-nano-2025-08-07,0,,1344,"[PROMPT]
You are helping Person 1 with fact-checking. This statement needs to be checked: The upright jerker provides a swift death by breaking the condemned's neck but was never really efficient in doing so causing its withdrawal from use by 1930s..

Respond with a single digit ONLY: 1 (support) or 0 (refute) for your prediction of Person 1's true decision.

[RESPONSE]
0",2026-02-25 14:42:28
71040,"Harry Perretta, the youngest coach to ever head a women's varsity program at Villanova, won the Carol Eckman Award in 2020.",1,"You are helping Person 1 with fact-checking. This statement needs to be checked: Harry Perretta, the youngest coach to ever head a women's varsity program at Villanova, won the Carol Eckman Award in 2020..",cot,gpt-5-nano-2025-08-07,0,,1088,"[PROMPT]
You are helping Person 1 with fact-checking. This statement needs to be checked: Harry Perretta, the youngest coach to ever head a women's varsity program at Villanova, won the Carol Eckman Award in 2020..

Respond with a single digit ONLY: 1 (support) or 0 (refute) for your prediction of Person 1's true decision.

[RESPONSE]
0",2026-02-25 14:42:28
95216,Mecomischus (Coss. ex Benth. & Hook.f.) is a member of the Asteraceae Order in the Plantae Kingdom.,0,You are helping Person 1 with fact-checking. This statement needs to be checked: Mecomischus (Coss. ex Benth. & Hook.f.) is a member of the Asteraceae Order in the Plantae Kingdom..,cot,gpt-5-nano-2025-08-07,0,,1216,"[PROMPT]
You are helping Person 1 with fact-checking. This statement needs to be checked: Mecomischus (Coss. ex Benth. & Hook.f.) is a member of the Asteraceae Order in the Plantae Kingdom..

Respond with a single digit ONLY: 1 (support) or 0 (refute) for your prediction of Person 1's true decision.

[RESPONSE]
0",2026-02-25 14:42:28
52046,Cohesin has around four Saccharomyces cerevisiae one of the vertebrates is Smc1 (a protein that in humans is encoded by the SMC1A gene).,1,You are helping Person 1 with fact-checking. This statement needs to be checked: Cohesin has around four Saccharomyces cerevisiae one of the vertebrates is Smc1 (a protein that in humans is encoded by the SMC1A gene)..,cot,gpt-5-nano-2025-08-07,1,,1088,"[PROMPT]
You are helping Person 1 with fact-checking. This statement needs to be checked: Cohesin has around four Saccharomyces cerevisiae one of the vertebrates is Smc1 (a protein that in humans is encoded by the SMC1A gene)..

Respond with a single digit ONLY: 1 (support) or 0 (refute) for your prediction of Person 1's true decision.

[RESPONSE]
1",2026-02-25 14:42:28
81646,"Finspreads, a financial services organization headquartered in London, England, first offered interactive online spread betting before the company was acquired by City Index Group; its goal is to make spread betting as straightforward as possible for every trader.",1,"You are helping Person 1 with fact-checking. This statement needs to be checked: Finspreads, a financial services organization headquartered in London, England, first offered interactive online spread betting before the company was acquired by City Index Group; its goal is to make spread betting as straightforward as possible for every trader..",cot,gpt-5-nano-2025-08-07,0,,1280,"[PROMPT]
You are helping Person 1 with fact-checking. This statement needs to be checked: Finspreads, a financial services organization headquartered in London, England, first offered interactive online spread betting before the company was acquired by City Index Group; its goal is to make spread betting as straightforward as possible for every trader..

Respond with a single digit ONLY: 1 (support) or 0 (refute) for your prediction of Person 1's true decision.

[RESPONSE]
0",2026-02-25 14:42:28
77824,"Russian actor Andrey Merzlikin has appeared in numerous stage productions, but no films, since launching his career in 1997.",0,"You are helping Person 1 with fact-checking. This statement needs to be checked: Russian actor Andrey Merzlikin has appeared in numerous stage productions, but no films, since launching his career in 1997..",cot,gpt-5-nano-2025-08-07,0,,640,"[PROMPT]
You are helping Person 1 with fact-checking. This statement needs to be checked: Russian actor Andrey Merzlikin has appeared in numerous stage productions, but no films, since launching his career in 1997..

Respond with a single digit ONLY: 1 (support) or 0 (refute) for your prediction of Person 1's true decision.

[RESPONSE]
0",2026-02-25 14:42:28
